Year,MonthE,Bank_Balance,Revenue,Bonus,Gammiat,ZAKAT,Salaries,Maint,Stock,Home_Expenses,Cleanind,Medicines,Club,Cloths,Schools,Education,Internet,Electric,Gas,Add_Expenses,Fuel,Balance
2022,March,70000,30000,0,,,-3500,-200,,-6500,-400,-500,,,,-3000,-250,-400,-100,-1500,-600,83050
2022,April,83050,39000,0,-4000,,-3500,-200,-20000,-12000,-400,-500,,-4500,,-3000,-500,-1000,-100,,-750,71600
2022,May,71600,41000,-410,-4000,,-3500,-200,,-10000,-400,-500,,,,0,-500,-1000,-100,,-750,91240
2022,June,91240,39000,0,-4000,,-3500,-200,-20000,-10000,-400,-500,,,,0,-500,-1000,-100,,-750,89290
2022,July,89290,43000,-430,-4000,,-3500,-200,,-10000,-400,-500,,,-8000,0,-500,-1000,-100,,-750,102910
2022,August,102910,39000,0,20000,-8000,-3500,-200,-60000,-10000,-400,-500,-1200,-4500,,0,-500,-1000,-100,,-750,71260
2022,September,71260,50000,-500,,,-3500,-200,,-10000,-400,-500,,,-40000,-3000,-500,-1000,-100,,-750,60810
2022,October,60810,80000,-800,,,-3500,-200,-20000,-10000,-400,-500,,,,-3000,-500,-1000,-100,,-750,100060
2022,Novmber,100060,39000,0,,,-3500,-200,,-10000,-400,-500,,,,-3000,-500,-1000,-100,,-750,119110
2022,December,119110,41000,-410,,,-3500,-200,-20000,-10000,-400,-500,,-4500,,-3000,-500,-1000,-100,,-750,115250
2023,January,115250,30000,0,,,-4500,-200,,-10000,-400,-500,,,,-3000,-500,-1000,-100,,-750,124300
2023,February,124300,50000,-500,,,-4500,-200,-30000,-10000,-400,-500,,,-30000,-3000,-500,-1000,-100,,-750,92850
2023,March,92850,33000,0,,,-4500,-200,,-15000,-400,-500,,,,-3000,-500,-1000,-100,-1000,-750,98900
2023,April,98900,39000,0,,,-4500,-200,-20000,-10000,-400,-500,,-4500,,-3000,-500,-1000,-100,,-750,92450
2023,May,92450,36000,0,,,-4500,-200,,-10000,-400,-500,,,,-3000,-500,-1000,-100,,-750,107500
2023,June,107500,36000,0,,,-4500,-200,-20000,-10000,-400,-500,,,,-3000,-500,-1000,-100,,-750,102550
2023,July,102550,36000,0,,-8000,-4500,-200,,-10000,-400,-500,,,,0,-500,-1000,-100,,-750,112600
2023,August,112600,40000,-400,,,-4500,-200,-60000,-10000,-400,-500,-1200,-4500,,0,-500,-1000,-100,,-750,68550
2023,September,68550,50000,-500,,,-4500,-200,,-10000,-400,-500,,,-40000,0,-500,-1000,-100,,-750,60100
2023,October,60100,80000,-800,,,-4500,-200,-20000,-10000,-400,-500,,,,0,-500,-1000,-100,,-750,101350
2023,Novmber,101350,45000,-450,,,-4500,-200,,-10000,-400,-500,,,,0,-500,-1000,-100,,-750,127950
2023,December,127950,45000,-450,,,-4500,-200,-40000,-10000,-400,-500,,-4500,,0,-500,-1000,-100,,-750,110050
2024,January,110050,30000,0,,,-4500,-200,,-10000,-400,-500,,,,0,-500,-1000,-100,,-750,122100
2024,February,122100,50000,-500,,,-4500,-200,-20000,-10000,-400,-500,,,-30000,0,-500,-1000,-100,,-750,103650
2024,March,103650,33000,0,,,-4500,-200,,-10000,-400,-500,,,,0,-500,-1000,-100,-1000,-750,117700
2024,April,117700,40000,-400,,,-4500,-200,-20000,-10000,-400,-500,,-4500,,0,-500,-1000,-100,,-750,114850
2024,May,114850,40000,-400,,,-4500,-200,,-10000,-400,-500,,,,0,-500,-1000,-100,,-750,136500
2024,June,136500,40000,-400,,,-4500,-200,-20000,-10000,-400,-500,,,,0,-500,-1000,-100,,-750,138150
2024,July,138150,40000,-400,,-8000,-4500,-200,,-10000,-400,-500,,,,0,-500,-1000,-100,,-750,151800
2024,August,151800,40000,-400,,,-4500,-200,-60000,-10000,-400,-500,-1200,-4500,,0,-500,-1000,-100,,-750,107750
2024,September,107750,50000,-500,,,-4500,-200,,-10000,-400,-500,,,-40000,0,-500,-1000,-100,,-750,99300
2024,October,99300,82000,-820,,,-4500,-200,-20000,-10000,-400,-500,,,,0,-500,-1000,-100,,-750,142530
2024,Novmber,142530,45000,-450,,,-4500,-200,,-10000,-400,-500,,,,0,-500,-1000,-100,,-750,169130
2024,December,169130,45000,-450,,,-4500,-200,-20000,-10000,-400,-500,,-4500,,0,-500,-1000,-100,,-750,171230
2025,January,171230,45000,-450,,,-4500,-200,-20000,-10000,-400,-500,,,,,-500,-1000,-100,,-750,177830
2025,February,177830,45000,-450,,,-4500,-200,-20000,-10000,-400,-500,,,,,-500,-1000,-100,,-750,184430
